ID,datetime,session_start,time,sw_flip,sw_offset,sw_subwave_num,sw_number,mo_y,mo_x,mo_fake_release,mo_act_drag,mo_lobe,level,version,device_timezone,device_OS,time_diff,coord_diff,total_sw_events,first,last,target_location,action_location,action_location_normalized,actions,actions_normalized,collect,false_collect,action_sequences,action_sequences_str,count,sw_start,last_sw,ba_time,ba_position,ba_ID,ba_age,last_ba_sw,is_last_sw,session_score,session_nr,threshold,session_cleared,learned,learning,diff,score,previous_score,prev_action_sequences_str,action_seq_frequency,rank,rank_pct,prev_rank,top,top_prev,puzzle_attempt,cum_score,trial_score,cum_score_s6,cum_score_last_6,threshold_puzzle,first_threshold,anon_id
1619377557_554053837,2021-04-29 12:15:50,97930,156454.0,False,0.0,0.0,5.0,-100.83334,-26.742676,0.0,True,1.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,1712.0,-153.43593,3.0,False,True,0.0,0.0,0.0,-0.0,-0.0,True,False,"[1.0, 4.0, -0.0]","[1.0, 4.0, -0.0]",15.0,153992.0,6.0,157373.0,0.0,0.0,6.0,6.0,False,180.0,15.0,True,11.0,True,False,-36.0,36.0,36.0,"[1.0, 4.0, -0.0]",15.0,98.0,0.976897689768977,98.0,other,other,14,146.0,36.0,2.0,144.0,True,14.0,3688
1608333952_4174515712,2020-12-18 23:28:42,212852,218065.0,False,5.0,3.0,1.0,87.22223,225.4314,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,14079.0,-162.20404,3.0,True,False,5.0,5.0,0.0,5.0,0.0,False,False,"[0.0, 3.0, 0.0]","[0.0, 3.0, 0.0]",500.0,218065.0,3.0,228522.0,5.0,0.0,7.0,3.0,False,0.0,2.0,False,8.0,True,True,-1.0,0.0,,,498.0,9.0,0.9993476091795226,1.0,9.0,first,16,145.0,0.0,72.0,73.0,False,12.0,1290
1608290560_3509209088,2020-12-18 11:23:32,61202,98796.0,False,0.0,5.0,3.0,-92.80002,0.399963,0.0,True,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",iOS,633.0,-4.0000305,8.0,False,False,0.0,5.0,5.0,-5.0,-5.0,False,False,"[1.0, -1.0, -1.0, -5.0, 0.0, 5.0, 4.0, 3.0]","[1.0, -1.0, -1.0, -5.0, 0.0, 5.0, 4.0, 3.0]",1.0,90997.0,3.0,105479.0,0.0,0.0,7.0,3.0,True,2.0,0.0,False,,False,False,,0.0,0.0,[-0.0],1.0,112.0,0.3794228260035306,1.0,other,1.0,5,2.0,0.0,,,False,1.0,1201
1608333952_4174515712,2020-12-18 23:27:52,162452,185827.0,True,1.0,4.0,2.0,-116.66666,-209.61584,0.0,False,3.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,4914.0,-26.673248,5.0,True,False,5.0,2.0,3.0,2.0,3.0,False,False,"[3.0, 3.0, 0.0, 0.0, 0.0]","[3.0, 3.0, 0.0, 0.0, 0.0]",22.0,185827.0,3.0,197059.0,5.0,0.0,7.0,3.0,False,1.0,1.0,False,8.0,True,True,1.0,0.0,,"[5.0, 4.0, 5.0, 2.0, 0.0]",22.0,91.0,0.9852252667127178,112.0,other,other,14,144.0,0.0,72.0,72.0,False,12.0,1290
1608333952_4174515712,2020-12-21 14:16:32,526726,529473.0,False,0.0,0.0,1.0,56.111115,147.64514,0.0,False,6.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,151.0,14.998566,6.0,False,False,0.0,5.0,5.0,5.0,5.0,False,False,"[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]","[5.0, 5.0, 5.0, 5.0, 5.0, -0.0]",42.0,529099.0,6.0,531963.0,0.0,0.0,6.0,6.0,False,216.0,11.0,True,8.0,True,False,72.0,36.0,36.0,,42.0,71.0,0.9924783175992018,83.0,other,other,36,271.0,36.0,199.0,72.0,False,12.0,1290
1608333952_4174515712,2020-12-18 23:34:33,563164,609233.0,True,0.0,4.0,5.0,-166.1111,2.073792,0.0,True,3.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",Android,752.0,-112.79701,6.0,False,False,0.0,2.0,2.0,-2.0,-2.0,False,False,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]","[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,606534.0,6.0,611402.0,0.0,0.0,6.0,6.0,False,216.0,8.0,True,8.0,True,True,180.0,36.0,36.0,"[-5.0, -4.0, -3.0, -2.0, -1.0, -0.0]",157.0,31.0,0.997582316371172,31.0,other,other,46,631.0,36.0,415.0,216.0,True,12.0,1290
1619377557_554053837,2021-04-25 20:14:05,493184,520614.0,False,0.0,1.0,5.0,55.833313,-127.64172,0.0,False,2.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,4409.0,-450.90225,7.0,True,False,0.0,1.0,1.0,1.0,1.0,False,False,"[1.0, 2.0, 3.0, 4.0, 5.0, 0.0, -0.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 0.0, -0.0]",769.0,520614.0,6.0,524722.0,0.0,0.0,6.0,6.0,False,148.0,11.0,True,11.0,True,True,130.0,36.0,,"[1.0, 2.0, 3.0, 4.0, 5.0, 0.0, -0.0]",769.0,5.0,0.9996929925550696,5.0,5.0,5.0,58,615.0,36.0,487.0,128.0,True,14.0,3688
1608290560_3509209088,2020-12-18 11:24:38,127499,168312.0,True,2.0,3.0,3.0,-124.000015,173.99994,0.0,False,5.0,1.0,2.0,"{'bias': 0.0, 'name': 'WET'}",iOS,784.0,20.799988,7.0,False,False,4.0,4.0,0.0,4.0,0.0,False,False,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3209.0,158610.0,3.0,170394.0,4.0,0.0,7.0,3.0,True,1.0,1.0,False,,False,False,-1.0,0.0,0.0,"[5.0, 5.0, 5.0, 5.0, 5.0, 5.0, 5.0]",3204.0,3.0,0.9998464962775347,48.0,3.0,other,8,3.0,0.0,0.0,3.0,False,1.0,1201
1610650624_4196779776,2021-01-14 17:59:17,184168,195262.0,False,0.0,0.0,2.0,-269.62964,21.46167,0.0,True,0.0,1.0,2.0,"{'bias': -60.0, 'name': '-01'}",Android,3531.0,410.4776,1.0,True,False,0.0,-1.0,5.0,1.0,-5.0,False,False,"[-5.0, -0.0]","[-5.0, -0.0]",221.0,195262.0,3.0,197090.0,0.0,0.0,1.0,3.0,False,3.0,2.0,False,,False,False,-35.0,1.0,,"[0.0, -0.0]",221.0,26.0,0.9980044516079516,4.0,other,4.0,11,114.0,1.0,74.0,40.0,False,1.0,2719
1619377557_554053837,2021-04-25 22:25:30,291551,325443.0,False,0.0,2.0,4.0,50.0,-117.63519,0.0,False,2.0,1.0,2.09,"{'bias': 60.0, 'name': 'BST'}",Android,3664.0,-390.05597,7.0,True,False,0.0,1.0,1.0,1.0,1.0,False,False,"[1.0, 2.0, 1.0, 2.0, 1.0, 0.0, -0.0]","[1.0, 2.0, 1.0, 2.0, 1.0, 0.0, -0.0]",14.0,325443.0,6.0,331421.0,0.0,0.0,6.0,6.0,False,216.0,14.0,True,11.0,True,False,216.0,36.0,,"[5.0, 4.0, 3.0, 2.0, 1.0, 0.0, -0.0]",14.0,99.0,0.9752475247524752,7.0,other,7.0,35,368.0,36.0,208.0,160.0,True,14.0,3688
